name,employer,location,min_selary,max_selary,money_type,href,employer_id,source
Программист С++/Драйверист, Searchinform,Ростов-на-Дону,,100000,руб,https://izhevsk.hh.ru/vacancy/36712554?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/534283,https://hh.ru/
Программист-разработчик, Филиал компании Ол Фюнерал Сервисиз Москва,Петрозаводск,,60000,руб,https://izhevsk.hh.ru/vacancy/37614689?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/4702861,https://hh.ru/
"Senior Software Engineer, Database Engineering (Cube.js Core)", Cube.js,Москва,,,,https://izhevsk.hh.ru/vacancy/36976348?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/4573853,https://hh.ru/
Senior Node.js Engineer (Cube.js Core), Cube.js,Москва,,,,https://izhevsk.hh.ru/vacancy/37279695?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/4573853,https://hh.ru/
"C++ developer (deep learning, CV products)", Tech5,Москва,,150000,руб,https://izhevsk.hh.ru/vacancy/37508809?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/3828175,https://hh.ru/
C++ Senior Software Developer,ООО Варити,Москва,250000,,руб,https://izhevsk.hh.ru/vacancy/37416700?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/2558781,https://hh.ru/
Embedded программист-разработчик,ООО Дом облачных технологий,Москва,100000,,руб,https://izhevsk.hh.ru/vacancy/37513036?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/4235383,https://hh.ru/
C++ Developer / Программист С++,ООО Бриксис Текноледжис Раша,Новосибирск,,80000,руб,https://izhevsk.hh.ru/vacancy/37501769?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/1424855,https://hh.ru/
Computer Vision Engineer (C++/Python), Neurus,Москва,,170000,руб,https://izhevsk.hh.ru/vacancy/37313645?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/3343157,https://hh.ru/
Программист С++/Qt, АЖУР,Москва,,120000,руб,https://izhevsk.hh.ru/vacancy/37397322?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/4687974,https://hh.ru/
Программист C++,ЗАО CAPVIDIA BVBA,"Нижний Новгород, Горьковская",120000,,руб,https://izhevsk.hh.ru/vacancy/37326942?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/82752,https://hh.ru/
Senior C++ developer,ООО Кортекс,Москва,,210000,руб,https://izhevsk.hh.ru/vacancy/37314205?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/4316373,https://hh.ru/
Программист на Python / С++, МФТИ ГУ,Москва,,140000,руб,https://izhevsk.hh.ru/vacancy/37673701?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/1008541,https://hh.ru/
Senior Machine Learning Engineer,ООО Giant,"Санкт-Петербург, Сенная площадь и еще 2 ",,250000,руб,https://izhevsk.hh.ru/vacancy/37703126?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/3650975,https://hh.ru/
Программист C++/Python,АО Интегрис,Москва,140000,,руб,https://izhevsk.hh.ru/vacancy/37184106?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/3798396,https://hh.ru/
Инженер-программист С/C++ для встраиваемых систем (Разработчик C/C++ Embedded Linux),ООО Биганто,"Москва, Третьяковская и еще 2 ",140000,,руб,https://izhevsk.hh.ru/vacancy/37084032?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/2743658,https://hh.ru/
Junior Machine Learning Engineer,ООО Claire&Clarté,Москва,,140000,руб,https://izhevsk.hh.ru/vacancy/37711158?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/2370983,https://hh.ru/
Программист C++/QT,ООО Скантроник Системс,Санкт-Петербург,110000,,руб,https://izhevsk.hh.ru/vacancy/37697005?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/2733612,https://hh.ru/
Программист/Разработчик C++, OOO PSI,"Москва, Ленинский проспект и еще 2 ",,100000,руб,https://izhevsk.hh.ru/vacancy/37525039?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/748690,https://hh.ru/
Начинающий C++/Qt Разработчик / Junior C++/Qt Developer,ООО Open Media,"Нижний Новгород, Горьковская",40000,,руб,https://izhevsk.hh.ru/vacancy/37370693?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/2081770,https://hh.ru/
Senior Frontend developer (React),ООО Кортекс,Москва,,260000,руб,https://izhevsk.hh.ru/vacancy/35359851?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/4316373,https://hh.ru/
Developer, Owl Markets LLC,Москва,250000,,руб,https://izhevsk.hh.ru/vacancy/37422161?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/4455391,https://hh.ru/
Разработчик / программист С++ (Middle С++ Developer), ДВ технологии,Москва,170000,,руб,https://izhevsk.hh.ru/vacancy/37592233?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/4276064,https://hh.ru/
Младший программист C/C++,АО Синтелс,"Москва, Юго-Западная и еще 1 ",,50000,руб,https://izhevsk.hh.ru/vacancy/37591236?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/1060997,https://hh.ru/
Инженер - программист Linux C++ (Qt5),ООО СКБ Медрентех,"Москва, Теплый Стан",100000,,руб,https://izhevsk.hh.ru/vacancy/37566180?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/48568,https://hh.ru/
