head,author_name,author_email,date,text
Вход с нового устройства в аккаунт,Mail.ru,security@id.mail.ru,"Вчера, 20:41","Вход с нового устройства в аккаунт
 study.ai_172@mail.ru в аккаунтВ аккаунт study.ai_172@mail.ru вошли с нового устройства.Если вы этого не делали, измените пароль, чтобы обезопасить аккаунт.Время8 июля, 19:41УстройствоРоботы, Роботы, Москва, РоссияУзнайте, как защитить аккаунт, на нашем сайте по безопасности.Вы получили это письмо, потому что являетесь пользователем Mail‌.ru на основании Пользовательского соглашения.‌Copyright 2020 Mail‌.ru Group, Москва — Все права защищены.‌Служба поддержки      Mail ID"
Вход с нового устройства в аккаунт,Mail.ru,security@id.mail.ru,"Вчера, 20:17","Вход с нового устройства в аккаунт
 study.ai_172@mail.ru в аккаунтВ аккаунт study.ai_172@mail.ru вошли с нового устройства.Если вы этого не делали, измените пароль, чтобы обезопасить аккаунт.Время8 июля, 19:16УстройствоРоботы, Роботы, Москва, РоссияУзнайте, как защитить аккаунт, на нашем сайте по безопасности.Вы получили это письмо, потому что являетесь пользователем Mail‌.ru на основании Пользовательского соглашения.‌Copyright 2020 Mail‌.ru Group, Москва — Все права защищены.‌Служба поддержки      Mail ID"
Вход с нового устройства в аккаунт,Mail.ru,security@id.mail.ru,"Вчера, 20:16","Вход с нового устройства в аккаунт
 study.ai_172@mail.ru в аккаунтВ аккаунт study.ai_172@mail.ru вошли с нового устройства.Если вы этого не делали, измените пароль, чтобы обезопасить аккаунт.Время8 июля, 19:16УстройствоРоботы, Роботы, Москва, РоссияУзнайте, как защитить аккаунт, на нашем сайте по безопасности.Вы получили это письмо, потому что являетесь пользователем Mail‌.ru на основании Пользовательского соглашения.‌Copyright 2020 Mail‌.ru Group, Москва — Все права защищены.‌Служба поддержки      Mail ID"
Вход с нового устройства в аккаунт,Mail.ru,security@id.mail.ru,"Вчера, 20:13","Вход с нового устройства в аккаунт
 study.ai_172@mail.ru в аккаунтВ аккаунт study.ai_172@mail.ru вошли с нового устройства.Если вы этого не делали, измените пароль, чтобы обезопасить аккаунт.Время8 июля, 19:13УстройствоРоботы, Роботы, Москва, РоссияУзнайте, как защитить аккаунт, на нашем сайте по безопасности.Вы получили это письмо, потому что являетесь пользователем Mail‌.ru на основании Пользовательского соглашения.‌Copyright 2020 Mail‌.ru Group, Москва — Все права защищены.‌Служба поддержки      Mail ID"
Вход с нового устройства в аккаунт,Mail.ru,security@id.mail.ru,"Вчера, 16:19","Вход с нового устройства в аккаунт
 study.ai_172@mail.ru в аккаунтВ аккаунт study.ai_172@mail.ru вошли с нового устройства.Если вы этого не делали, измените пароль, чтобы обезопасить аккаунт.Время8 июля, 15:19УстройствоUbuntu, Mozilla Firefox 78, Москва, РоссияУзнайте, как защитить аккаунт, на нашем сайте по безопасности.Вы получили это письмо, потому что являетесь пользователем Mail‌.ru на основании Пользовательского соглашения.‌Copyright 2020 Mail‌.ru Group, Москва — Все права защищены.‌Служба поддержки      Mail ID"
Вход с нового устройства в аккаунт,Mail.ru,security@id.mail.ru,"Вчера, 1:56","Вход с нового устройства в аккаунт
 study.ai_172@mail.ru в аккаунтВ аккаунт study.ai_172@mail.ru вошли с нового устройства.Если вы этого не делали, измените пароль, чтобы обезопасить аккаунт.Время8 июля, 00:56УстройствоРоботы, Роботы, Ростов-на-Дону, РоссияУзнайте, как защитить аккаунт, на нашем сайте по безопасности.Вы получили это письмо, потому что являетесь пользователем Mail‌.ru на основании Пользовательского соглашения.‌Copyright 2020 Mail‌.ru Group, Москва — Все права защищены.‌Служба поддержки      Mail ID"
Ночная тема,study ai_172,study.ai_172@mail.ru,"25 июня, 4:56","Сон для слабаков
 --
study ai_172"
Тест тема или тема тест,222222 222222,222222.ru@mail.ru,"22 июня, 11:51","Очень очень очень очень очень длинное тестовое письмо.
--
Отправлено из Mail.ru для Android"
Тестовая тема,study ai_172,study.ai_172@mail.ru,"18 июня, 14:22","Текст письма
 --
study ai_172"
Новая папка «Письма себе»,Почта Mail.ru,info@e.mail.ru,"18 июня, 14:22","Здравствуйте!Встречайте,
«Письма себе»Отправляйте важное себе в почту — так оно всегда будет в быстром доступе.в почту —в быстромПочему это удобноПапка «Письма себе» — аналог заметкам. Отправляйте себе все, что может пригодиться в любой момент:в любойCохраняйте рабочие документы, чтобы иметь к ним быстрый доступ с любого устройства в любое время.к нимс любогов любоеСоставьте список продуктов, которые нужно купить домойCохраняйте важные ссылки, чтобы они не потерялисьне потерялисьБыстрый поискВерный способ не потерять важную информацию — отправить ее самому себе в почту. Письма всегда под рукой во входящих и в списке папок.ее самомув почту.во входящихи в спискеКак включить группировку писем себе1.Нажмите значокпод списком папок.2.Установите галочку «Группировать письма себе».Во «Входящих» появится подпапка «Письма себе». Все письма будут попадать туда автоматически.С наилучшими пожеланиями, команда Почты Mail‌.ruMail‌.ru‌Copyright 2020 Mail‌.ru Group, Москва. Все права защищены.‌"
